"","trial","binnumb","binstart","binend","in_testing","trialstart","offertime","offer_type","completiontime","nosepokestart","nosepokeend","CA1.1","CA1.2","CA1.3","CA1.4","CA1.5","CA1.6","CA1.7","CA1.8","CA1.9","CA1.10","CA1.11","CA1.12","CA1.13","CA1.14","CA1.15","CA3.1","CA3.2","CA3.3","CA3.4","CA3.5","CA3.6","CA3.7","CA3.8","CA3.9","CA3.10","CA3.11","CA3.12","CA3.13","CA3.14","CA3.15","CA3.16","CA3.17","CA3.18","CA3.19","CA3.20","CA3.21"
"25",3,25,469.669925,470.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,2,0,0,0,0,2,5,1,0,3,0,1,0,1,3,1,7,15,1,8,12,3,0,10,2,6,4,10,1,0,0,3,0,2,5,9
"26",3,26,470.169925,470.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,1,0,0,0,0,1,5,0,0,1,0,1,1,2,2,0,1,6,0,5,13,13,1,15,14,6,5,13,0,0,0,1,0,0,4,2
"27",3,27,470.669925,471.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,2,2,0,0,0,1,2,1,0,6,1,1,1,5,3,4,2,6,3,8,16,7,0,12,15,7,1,11,1,0,0,6,1,2,5,11
"28",3,28,471.169925,471.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,1,3,0,0,2,3,2,1,0,5,0,1,5,4,5,4,6,6,0,5,9,3,1,15,5,11,3,10,4,0,0,6,0,4,9,7
"29",3,29,471.669925,472.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,1,1,1,0,1,3,3,3,0,5,0,2,2,5,3,5,12,13,4,7,12,5,0,12,12,12,4,18,1,1,0,6,0,1,5,9
"30",3,30,472.169925,472.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,1,4,0,0,1,7,1,1,0,2,0,1,1,1,6,3,0,4,2,13,12,1,0,11,4,12,2,8,1,1,0,9,0,10,10,10
"31",3,31,472.669925,473.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,0,1,2,2,0,3,0,2,0,1,1,1,2,4,3,2,0,5,3,6,11,9,0,12,10,10,4,12,1,1,0,3,1,4,15,14
"32",3,32,473.169925,473.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,1,0,2,0,1,4,3,6,0,2,0,0,1,4,3,3,0,9,1,9,9,3,0,23,1,9,8,17,1,0,0,8,0,9,4,8
"33",3,33,473.669925,474.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,2,0,1,1,0,7,2,3,0,2,0,5,6,0,18,9,5,11,0,9,28,9,0,16,8,8,8,11,1,0,0,3,0,4,13,11
"34",3,34,474.169925,474.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,1,0,1,0,0,6,0,2,0,2,0,0,2,2,3,3,7,6,4,6,7,5,0,13,0,14,4,13,1,0,0,4,0,1,17,11
"35",3,35,474.669925,475.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,1,0,1,0,5,4,3,2,0,1,0,0,2,7,3,2,5,9,1,4,11,6,0,13,0,6,11,19,2,0,0,5,0,1,13,8
"36",3,36,475.169925,475.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,1,0,0,0,3,11,4,0,0,2,0,0,1,2,1,0,1,2,3,13,9,6,0,10,0,11,6,11,2,0,0,0,0,0,14,5
"37",3,37,475.669925,476.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,5,0,0,0,0,5,4,0,0,2,0,0,3,4,1,1,2,3,2,0,5,7,0,12,2,5,5,8,0,0,0,0,0,1,9,9
"38",3,38,476.169925,476.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,2,0,0,0,0,4,2,0,0,2,0,0,2,0,6,2,2,4,3,3,13,2,0,17,2,8,2,10,1,1,0,10,3,4,11,13
"39",3,39,476.669925,477.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,2,3,1,1,0,1,2,5,0,0,0,0,3,4,4,1,3,5,2,25,21,3,0,19,10,11,8,18,2,0,1,4,4,2,18,13
"40",3,40,477.169925,477.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,0,0,2,0,0,3,3,2,0,3,0,0,5,9,1,1,3,5,2,20,11,3,0,26,26,13,9,17,2,0,0,7,4,0,11,14
